,id,name,custom,orderable,navigable,searchable,clauseNames,schema
81,customfield_10024,Xalan info,True,True,True,True,"['cf[10024]', 'Xalan info']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 10024}"
82,updated,Updated,False,False,True,True,"['updated', 'updatedDate']","{'type': 'datetime', 'system': 'updated'}"
83,customfield_12311720,Cloudstack-CVSS,True,True,True,True,"['cf[12311720]', 'Cloudstack-CVSS']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 12311720}"
84,timeoriginalestimate,Original Estimate,False,False,True,False,"['originalEstimate', 'timeoriginalestimate']","{'type': 'number', 'system': 'timeoriginalestimate'}"
85,description,Description,False,True,True,True,['description'],"{'type': 'string', 'system': 'description'}"
86,customfield_10010,Bugzilla Id,True,True,True,True,"['Bugzilla Id', 'cf[10010]']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:importid', 'customId': 10010}"
87,customfield_12310280,Codeplex ID,True,True,True,True,"['cf[12310280]', 'Codeplex ID']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12310280}"
88,timetracking,Time Tracking,False,True,False,True,[],"{'type': 'timetracking', 'system': 'timetracking'}"
89,customfield_12314523,Original story points,True,True,True,True,"['cf[12314523]', 'Original story points']","{'type': 'number', 'custom': 'com.atlassian.jpo:jpo-custom-field-original-story-points', 'customId': 12314523}"
90,customfield_12314522,Target end,True,True,True,True,"['cf[12314522]', 'Target end']","{'type': 'date', 'custom': 'com.atlassian.jpo:jpo-custom-field-baseline-end', 'customId': 12314522}"
